PeakID (cmd=annotatePeaks.pl filtrd_peaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-708	chr3	17783660	17783721	+	1	NA	promoter-TSS (NR_135536)	promoter-TSS (NR_135536)	541	NM_001349082	9779	Hs.475629	NM_014744	ENSG00000131374	TBC1D5	-	TBC1 domain family member 5	protein-coding
chr7-476	chr7	64458488	64458658	+	1	NA	intron (NM_001007253, intron 1 of 1)	HERV3-int|LTR|ERV1	-7159	NM_015852	51351	Hs.250693	NM_015852	ENSG00000152926	ZNF117	H-plk|HPF9	zinc finger protein 117	protein-coding
chr10-198	chr10	93668628	93668687	+	1	NA	exon (NM_152429, exon 2 of 2)	exon (NM_152429, exon 2 of 2)	601	NM_152429	143282	Hs.466120	NM_152429	ENSG00000174721	FGFBP3	C10orf13|FGF-BP3	fibroblast growth factor binding protein 3	protein-coding
chr7-613	chr7	140096209	140096335	+	1	NA	intron (NM_207113, intron 1 of 14)	intron (NM_207113, intron 1 of 14)	2078	NM_001287498	84255	Hs.446021	NM_032295	ENSG00000157800	SLC37A3	-	solute carrier family 37 member 3	protein-coding
chr14-515	chr14	100088440	100088540	+	1	NA	intron (NM_001329411, intron 1 of 8)	L3|LINE|CR1	17656	NM_001329411	84439	Hs.131714	NM_032425	ENSG00000182218	HHIPL1	KIAA1822|UNQ9245	HHIP like 1	protein-coding
chr9-44	chr9	88969216	88969436	+	1	NA	promoter-TSS (NM_024617)	promoter-TSS (NM_024617)	39	NM_001330718	79670	Hs.597057	NM_024617	ENSG00000083223	TUT7	PAPD6|TENT3B|ZCCHC6	terminal uridylyl transferase 7	protein-coding
chr10-58	chr10	134222429	134222435	+	1	NA	intron (NM_138499, intron 2 of 2)	intron (NM_138499, intron 2 of 2)	11730	NM_001098637	170394	Hs.527751	NM_138499	ENSG00000171813	PWWP2B	PWWP2|bA432J24.1|pp8607	PWWP domain containing 2B	protein-coding
chr1-645	chr1	5777898	5778065	+	1	NA	Intergenic	Intergenic	144820	NR_039838	100616421		NR_039838	ENSG00000264101	MIR4689	mir-4689	microRNA 4689	ncRNA
chr5-419	chr5	128429971	128430160	+	1	NA	promoter-TSS (NM_016048)	promoter-TSS (NM_016048)	-377	NM_016048	51015	Hs.483296	NM_016048	ENSG00000066583	ISOC1	CGI-111	isochorismatase domain containing 1	protein-coding
chr3-34	chr3	15468907	15469124	+	1	NA	promoter-TSS (NM_001330662)	promoter-TSS (NM_001330662)	39	NM_152396	131965	Hs.149487	NM_152396	ENSG00000206562	METTL6	-	methyltransferase like 6	protein-coding
